Team Names	Points per Game	Average Scoring Margin	Yards per Point	Yards per Point Margin	Points per Play	Points per Play Margin	Touchdowns per Game	Red Zone Scoring Attempts per Game	Red Zone Scores per Game (TDs only)	Red Zone Scoring Percentage (TD only)	Extra Point Attempts per Game	Extra Points Made per Game	Two Point Conversion Attempts per Game	Two Point Conversions per Game	Points per Field Goal Attempt	Extra Point Conversion Percentage	Two Point Conversion Percentage	Offensive Touchdowns per Game	Defensive Touchdowns per Game	Special Teams Touchdowns per Game	Offensive Points per Game (Estimated)	Defensive Points per Game (Estimated)	Special Teams Points per Game (Estimated)	Offensive Point Share Percentage (Estimated)	1st Quarter Points/Game	2nd Quarter Points/Game	3rd Quarter Points/Game	4th Quarter Points/Game	Overtime Points/Game	1st Half Points/Game	2nd Half Points/Game	1st Quarter Time of Possession Share %	2nd Quarter Time of Possession Share %	3rd Quarter Time of Possession Share %	4th Quarter Time of Possession Share %	1st Half Time of Possession Share %	2nd Half Time of Possession Share %	Yards per Game	Plays per Game	Yards per Play	First Downs per Game	Third Downs per Game	Third Down Conversions per Game	Fourth Downs per Game	Fourth Down Conversions per Game	Average Time of Possession (Excluding OT)	Time of Possession Percentage (Net of OT)	First Downs per Play	Third Down Conversion Percentage	Fourth Down Conversion Percentage	Punts per Play	Punts per Offensive Score	Rushing Attempts per Game	Rushing Yards per Game	Rushing First Downs per Game	Rushing Touchdowns per Game	Yards per Rush Attempt	Rushing Play Percentage 	Rushing Touchdown Percentage	Rushing First Down Percentage	Rushing Yards Percentage	Pass Attempts per Game	Completions per Game	Incompletions per Game	Completion Percentage	Passing Yards per Game	Yards per Pass Attempt	Yards per Completion	Passing Touchdowns per Game	Passing Touchdown Percentage	QB Sacked per Game	QB Sacked Percentage	Passing First Downs per Game	Passing First Down Percentage	Average Team Passer Rating	Passing Play Percentage	Passing Yards Percentage	Non-Offensive Touchdowns per Game	Field Goal Attempts per Game	Field Goals Made per Game	Field Goals Got Blocked per Game	Punt Attempts per Game	Punts Got Blocked per Game	Gross Punt Yards per Game	Net Punt Yards per Game	Kickoffs per Game	Touchbacks per Game	Kickoff Touchback Percentage	Field Goal Conversion Percentage	Field Goal Got Blocked Percentage	Field Goal Conversion Percentage (Excluding Blocks) 	Punt Blocked Percentage	Net Yards per Punt Attempt	Gross Yards per Successful Punt	Net Yards per Successful Punt	Opponent Points per Game	Opp Yards per Point	Opponent Points per Play	Opponent Touchdowns per Game	Opponent Red Zone Scoring Attempts per Game	Opponent Red Zone Scores per Game (TDs only)	Opponent Red Zone Scoring Percentage (TD only)	Opponent Extra Point Attempts per Game	Opponent Extra Points Made per Game	Opponent Two Point Conversion Attempts per Game	Opponent Two Point Conversions per Game	Opponent Points per Field Goal Attempt	Opponent Extra Point Conversion Percentage	Opponent Two Point Conversion Percentage	Opponent Offensive Touchdowns per Game	Opponent Defensive Touchdowns per Game	Opponent Special Teams Touchdowns per Game	Opponent Offensive Points per Game (Estimated)	Opponent Defensive Points per Game (Estimated)	Opponent Special Teams Points per Game (Estimated)	Opponent Offensive Point Share Percentage (Estimated)	Opp 1st Quarter Points/Game	Opp 2nd Quarter Points/Game	Opp 3rd Quarter Points/Game	Opp 4th Quarter Points/Game	Opp Overtime Points/Game	Opponent 1st Half Points/Game	Opponent 2nd Half Points/Game	Opponent Yards per Game	Opponent Plays per Game	Opponent Yards per Play	Opponent First Downs per Game	Opponent Third Downs per Game	Opponent Third Down Conversions per Game	Opponent Fourth Downs per Game	Opponent Fourth Down Conversions per Game	Opponent Average Time of Possession (Net of OT)	Opponent Time of Possession Percentage (Net of OT)	Opponent First Downs per Play	Opponent Third Down Conversion Percentage	Opponent Fourth Down Conversion Percentage	Opponent Punts per Play	Opponent Punts per Offensive Score	Opponent Rushing Attempts per Game	Opponent Rushing Yards per Game	Opponent Rushing First Downs per Game	Opponent Rushing Touchdowns per Game	Opponent Yards per Rush Attempt	Opponent Rushing Play Percentage 	Opponent Rushing Touchdown Percentage	Opponent Rushing First Down Percentage	Opponent Rushing Yards Percentage	Opponent Pass Attempts per Game	Opponent Completions per Game	Opponent Incompletions per Game	Opponent Completion Percentage	Opponent Passing Yards per Game	Opponent Yards per Pass Attempt	Opponent Yards per Completion	Opponent Passing First Downs per Game	Opponent Passing Touchdowns per Game	Opponent Passing Touchdown Percentage	Opponent Average Team Passer Rating	Sack Percentage	Opponent Passing Play Percentage	Opponent Passing Yards Percentage	Sacks per Game	Opponent Passing First Down Percentage	Opponent Non-Offensive Touchdowns per Game	Opponent Field Goal Attempts per Game	Opponent Field Goals Made per Game	Field Goals Blocked per Game	Opponent Punt Attempts per Game	Punts Blocked per Game	Opponent Gross Punt Yards per Game	Opponent Net Punt Yards per Game	Opponent Kickoffs per Game	Opponent Touchbacks per Game	Opponent Kickoff Touchback Percentage	Opponent Field Goal Conversion Percentage	Block Field Goal Percentage	Opponent Field Goal Conversion Percentage (Net of Blocks) 	Block Punt Percentage	Opponent Net Yards per Punt Attempt	Opponent Gross Yards per Successful Punt	Opponent Net Yards per Successful Punt	Interceptions Thrown per Game	Fumbles per Game	Fumbles Lost per Game	Fumbles Not Lost per Game	Safeties per Game	Giveaways per Game	Turnover Margin per Game	Opponent Interceptions Thrown per Game	Opponent Fumbles per Game	Opponent Fumbles Lost per Game	Opponent Fumbles Not Lost per Game	Opponent Safeties per Game	Takeaways per Game	Interceptions Thrown Percentage	Fumble Recovery Percentage	Giveaway Fumble Recovery Percentage	Takeaway Fumble Recovery Percentage	Opponent Interceptions Thrown Percentage	Opponent Fumble Recovery Percentage	Opponent Giveaway Fumble Recovery Percentage	Opponent Takeaway Fumble Recovery Percentage	Penalties per Game	Penalty Yards per Game	Penalty First Downs per Game	Opponent Penalties per Game	Opponent Penalty Yards per Game	Opponent Penalty First Downs per Game	Penalty Yards per Penalty	Penalties per Play	Opponent Penalty Yards per Penalty	Opponent Penalties per Play
Baltimore	30.6	+8.3	14.2	1.5	0.431	0.040	3.4	4.0	2.3	57.14%	2.9	2.9	0.6	0.1	3.0	100.00%	25.00%	3.1	0.3	0.0	28.9	2.0	0.0	93.5%	8.7	8.3	4.3	8.9	0.4	17.0	13.1	55.30%	47.21%	62.24%	68.63%	51.25%	65.79%	434.9	70.9	6.1	24.6	13.0	6.1	1.6	1.1	35:00	58.35%	0.347	47.25%	72.73%	0.04	0.5	36.9	204.1	11.4	1.4	5.5	52.02%	41.67%	46.51%	46.94%	31.6	20.3	11.3	64.25%	230.7	7.3	11.4	1.7	50.00%	2.4	7.14%	11.9	48.26%	96.4	47.98%	53.06%	0.3	2.3	2.3	0.0	2.6	0.0	120.0	106.6	6.6	3.7	56.52%	100.00%	0.00%	100.00%	0.00%	41.4	46.7	41.4	22.3	15.7	0.391	2.3	3.4	1.7	50.00%	2.0	1.9	0.3	0.1	2.8	92.86%	50.00%	2.1	0.0	0.1	21.4	0.0	1.0	95.5%	3.4	8.7	4.4	5.7	0.0	12.1	10.1	349.7	57.0	6.1	18.9	11.4	4.9	0.4	0.3	24:59	41.65%	0.331	42.50%	66.67%	0.07	0.9	19.4	84.3	4.7	1.1	4.3	34.09%	50.00%	25.00%	24.10%	35.9	21.3	14.6	59.36%	265.4	7.4	12.5	11.6	1.0	43.75%	83.0	4.56%	65.91%	75.90%	1.7	61.36%	0.1	2.3	2.1	0.0	4.0	0.0	190.6	169.7	5.4	3.1	57.89%	93.75%	0.00%	93.75%	0.00%	42.4	47.6	42.4	0.7	1.1	0.3	0.9	0.0	1.0	+0.3	0.9	1.1	0.4	0.7	0.0	1.3	2.26%	56.25%	75.00%	37.50%	2.39%	43.75%	62.50%	25.00%	7.6	60.7	1.3	6.3	45.7	2.6	8.0	0.06	7.3	0.05
Kansas City	28.2	+5.6	13.9	2.8	0.473	0.141	3.2	3.4	1.6	48.15%	3.2	3.1	0.0	0.0	2.5	96.15%	--	3.0	0.2	0.0	26.6	1.8	0.0	93.8%	5.9	13.0	4.4	5.0	0.0	18.9	9.4	49.22%	48.43%	41.72%	43.24%	48.83%	42.48%	392.5	59.8	6.6	22.1	11.0	5.1	0.6	0.4	27:23	45.65%	0.370	46.59%	60.00%	0.05	0.6	21.2	83.0	5.6	0.8	3.9	35.56%	23.08%	25.42%	21.15%	37.1	23.9	13.2	64.31%	309.5	8.3	13.0	2.2	69.23%	1.4	3.57%	13.4	60.45%	110.4	64.44%	78.85%	0.2	2.2	1.9	0.0	3.1	0.0	140.0	131.1	6.1	4.4	71.43%	83.33%	0.00%	83.33%	0.00%	42.0	44.8	42.0	22.6	16.7	0.332	2.6	4.2	2.2	52.94%	1.9	1.8	0.8	0.1	2.6	93.33%	16.67%	2.6	0.0	0.0	23.2	0.0	0.0	100.0%	7.9	4.4	2.5	7.9	0.0	12.2	10.4	377.0	68.2	5.5	23.9	12.8	5.0	1.6	1.1	32:36	54.35%	0.350	39.22%	69.23%	0.05	0.8	29.4	145.0	8.0	1.2	4.9	43.04%	47.62%	33.51%	38.46%	35.8	23.1	12.6	64.69%	232.0	6.5	10.0	13.2	1.4	52.38%	90.0	8.04%	56.96%	61.54%	3.1	55.50%	0.0	1.9	1.6	0.0	3.4	0.0	144.1	125.5	5.2	2.4	45.24%	86.67%	0.00%	86.67%	0.00%	37.2	42.7	37.2	0.1	1.5	0.9	0.6	0.0	1.0	+0.4	0.8	1.2	0.6	0.6	0.0	1.4	0.34%	45.45%	41.67%	50.00%	2.10%	54.55%	50.00%	58.33%	7.1	66.4	3.1	7.1	51.1	2.6	9.3	0.06	7.2	0.06
San Francisco	29.6	+18.6	13.1	7.3	0.438	0.236	3.4	4.4	2.0	45.16%	3.1	3.1	0.1	0.1	1.9	100.00%	100.00%	3.1	0.3	0.0	27.6	2.0	0.0	93.2%	7.4	5.1	10.3	6.7	0.0	12.6	17.0	48.32%	50.68%	64.38%	66.78%	49.50%	65.58%	387.3	67.6	5.7	22.1	13.1	6.0	0.6	0.4	34:31	57.54%	0.328	45.65%	75.00%	0.04	0.5	38.9	181.1	9.0	1.9	4.7	57.51%	54.17%	40.65%	46.77%	27.1	19.0	8.1	70.00%	206.1	7.6	10.8	1.3	37.50%	1.6	5.47%	11.4	51.61%	93.9	42.49%	53.23%	0.3	2.9	1.9	0.1	2.9	0.0	123.7	120.6	6.4	2.7	42.22%	65.00%	5.00%	68.42%	0.00%	42.2	43.3	42.2	11.0	20.4	0.202	1.1	1.9	0.4	23.08%	1.0	1.0	0.3	0.1	2.2	100.00%	50.00%	1.0	0.1	0.0	9.6	1.3	0.0	88.2%	3.3	1.9	3.4	2.4	0.0	5.1	5.9	224.4	54.4	4.1	12.4	11.9	3.3	1.7	0.1	25:28	42.46%	0.228	27.71%	8.33%	0.09	2.6	21.7	95.7	5.0	0.3	4.4	39.90%	25.00%	40.23%	42.65%	28.9	15.7	13.1	54.46%	128.7	4.5	8.2	6.4	0.7	62.50%	58.0	11.79%	60.10%	57.35%	3.9	51.72%	0.1	1.1	0.9	0.0	5.1	0.0	251.3	216.1	3.0	2.3	76.19%	75.00%	0.00%	75.00%	0.00%	42.0	48.9	42.0	1.0	1.1	0.7	0.4	0.0	1.7	+0.6	1.4	1.9	0.9	1.0	0.1	2.3	3.68%	42.86%	37.50%	46.15%	4.95%	57.14%	53.85%	62.50%	5.6	49.7	1.7	7.4	60.0	1.0	8.9	0.05	8.1	0.06
Tampa Bay	28.0	-2.3	13.2	-1.5	0.412	-0.048	3.1	3.7	2.0	53.85%	2.6	2.3	0.6	0.4	2.6	88.89%	75.00%	2.9	0.3	0.0	26.0	2.0	0.0	92.9%	4.6	10.4	5.0	8.0	0.0	15.0	13.0	55.94%	48.67%	53.19%	48.44%	52.30%	50.82%	370.7	68.0	5.5	21.9	13.0	4.9	1.1	0.6	30:56	51.56%	0.321	37.36%	50.00%	0.06	0.8	26.4	99.3	5.0	0.9	3.8	38.87%	27.27%	22.88%	26.78%	37.6	21.9	15.7	58.17%	271.4	7.2	12.4	2.0	63.64%	4.0	9.62%	15.0	68.63%	82.1	61.13%	73.22%	0.3	2.3	2.0	0.0	4.1	0.0	180.4	164.7	6.1	5.4	88.37%	87.50%	0.00%	87.50%	0.00%	39.8	43.6	39.8	30.3	11.7	0.460	3.3	3.6	2.1	60.00%	2.9	2.9	0.4	0.3	2.5	100.00%	66.67%	2.9	0.4	0.0	26.9	3.3	0.0	89.1%	5.1	8.1	7.9	9.1	0.0	13.3	17.0	354.4	65.9	5.4	21.1	13.4	4.9	1.3	0.4	29:03	48.44%	0.321	36.17%	33.33%	0.06	0.7	23.1	68.6	3.9	0.9	3.0	35.14%	26.09%	18.24%	19.35%	40.4	25.7	14.7	63.60%	285.9	7.1	11.1	14.6	2.0	60.87%	95.4	5.35%	64.86%	80.65%	2.3	68.92%	0.4	2.7	2.3	0.0	4.0	0.0	191.4	179.0	6.4	5.0	77.78%	84.21%	0.00%	84.21%	0.00%	44.8	47.9	44.8	1.7	1.7	0.7	1.0	0.0	2.4	-0.7	0.7	1.7	1.0	0.7	0.1	1.7	4.56%	58.33%	58.33%	58.33%	1.77%	41.67%	41.67%	41.67%	8.3	67.0	1.9	7.1	64.1	2.7	8.1	0.06	9.0	0.05
New Orleans	24.4	+4.9	15.4	0.8	0.381	0.050	2.6	3.8	2.0	53.33%	2.5	2.4	0.1	0.0	2.4	95.00%	0.00%	2.4	0.1	0.1	22.6	1.1	0.9	91.9%	2.8	6.9	6.9	7.9	0.0	9.6	14.8	56.64%	50.68%	57.04%	57.64%	53.66%	57.34%	375.2	64.0	5.9	21.0	13.0	5.9	0.5	0.2	33:18	55.50%	0.328	45.19%	50.00%	0.06	0.9	26.5	114.2	6.2	0.6	4.3	41.41%	23.81%	29.76%	30.45%	36.0	25.4	10.6	70.49%	261.0	7.2	10.3	1.8	66.67%	1.5	4.00%	13.6	64.88%	101.4	58.59%	69.55%	0.2	2.5	2.0	0.0	4.0	0.0	181.4	171.1	5.4	4.1	76.74%	80.00%	0.00%	80.00%	0.00%	42.8	45.3	42.8	19.5	16.2	0.331	2.2	2.8	1.6	59.09%	2.0	2.0	0.1	0.1	3.0	100.00%	100.00%	2.1	0.0	0.1	18.6	0.0	0.9	95.5%	3.8	3.6	5.1	7.0	0.0	7.4	12.1	316.5	59.0	5.4	17.4	12.5	4.0	1.5	0.5	26:42	44.50%	0.294	32.00%	33.33%	0.08	1.4	20.4	84.2	4.0	0.9	4.1	34.53%	38.89%	23.02%	26.62%	35.6	21.9	13.8	61.40%	232.2	6.5	10.6	11.8	1.2	55.56%	90.1	7.77%	65.47%	73.38%	3.0	67.63%	0.1	1.2	1.2	0.0	4.9	0.1	215.6	186.5	4.5	2.8	61.11%	100.00%	0.00%	100.00%	2.56%	38.3	45.4	39.3	0.6	0.6	0.1	0.5	0.1	0.8	+0.4	0.4	1.0	0.8	0.2	0.0	1.1	1.74%	76.92%	80.00%	75.00%	1.05%	23.08%	25.00%	20.00%	6.6	51.2	1.1	5.4	42.6	1.6	7.7	0.05	7.9	0.04
Dallas	27.1	+9.4	16.1	2.2	0.416	0.125	3.3	3.6	2.3	64.00%	3.1	3.1	0.1	0.0	2.1	100.00%	0.00%	3.3	0.0	0.0	27.3	0.0	0.0	100.0%	4.9	6.7	7.9	7.7	0.0	11.6	15.6	42.30%	55.60%	53.48%	46.94%	48.95%	50.21%	437.9	65.3	6.7	24.6	11.6	6.0	0.4	0.1	29:44	49.58%	0.376	51.85%	33.33%	0.05	0.7	29.9	146.0	8.6	1.6	4.9	45.73%	47.83%	34.88%	33.34%	34.0	24.0	10.0	70.59%	291.9	8.6	12.2	1.7	52.17%	1.4	4.03%	13.7	55.81%	102.6	54.27%	66.66%	0.0	2.0	1.4	0.0	3.1	0.0	134.9	122.0	5.4	3.7	68.42%	71.43%	0.00%	71.43%	0.00%	38.8	42.9	38.8	17.7	18.3	0.290	1.9	3.4	1.6	45.83%	1.9	1.9	0.0	0.0	2.8	100.00%	--	1.9	0.0	0.0	17.7	0.0	0.0	100.0%	5.4	5.1	3.9	3.3	0.0	10.6	7.1	324.9	61.0	5.3	19.9	11.4	3.0	1.6	0.7	30:15	50.42%	0.326	26.25%	45.45%	0.07	1.2	23.1	96.9	6.3	1.0	4.2	37.94%	53.85%	31.65%	29.82%	35.4	23.3	12.1	65.73%	228.0	6.4	9.8	11.0	0.9	46.15%	89.0	6.42%	62.06%	70.18%	2.4	55.40%	0.0	1.7	1.6	0.0	4.3	0.0	198.1	188.3	4.3	3.6	83.33%	91.67%	0.00%	91.67%	0.00%	43.9	46.2	43.9	1.0	0.6	0.3	0.3	0.0	1.3	0.0	0.4	1.4	0.9	0.6	0.0	1.3	2.94%	57.14%	50.00%	60.00%	1.21%	42.86%	40.00%	50.00%	7.7	76.4	2.3	7.1	64.6	2.6	9.9	0.06	9.0	0.06
New England	31.2	+23.6	11.8	18.9	0.443	0.308	3.9	4.5	2.2	50.00%	3.9	3.2	0.0	0.0	2.2	83.87%	--	3.1	0.5	0.2	26.4	3.8	1.8	82.7%	10.9	6.6	7.0	6.8	0.0	17.5	13.8	59.86%	57.75%	55.25%	55.31%	58.81%	55.28%	369.9	70.5	5.2	21.8	14.8	5.9	0.8	0.4	34:13	57.04%	0.309	39.83%	50.00%	0.08	1.0	29.5	95.2	6.6	1.5	3.2	41.84%	38.71%	30.46%	25.75%	39.2	25.4	13.9	64.65%	274.6	7.0	10.8	1.6	41.94%	1.8	4.27%	13.2	60.92%	93.6	58.16%	74.25%	0.8	2.0	1.5	0.1	5.4	0.0	238.5	223.8	6.4	4.8	74.51%	75.00%	6.25%	80.00%	0.00%	41.6	44.4	41.6	7.6	30.7	0.135	0.9	0.9	0.1	14.29%	0.9	0.9	0.0	0.0	2.4	100.00%	--	0.5	0.4	0.0	5.0	2.6	0.0	65.6%	0.9	3.0	2.5	1.2	0.0	3.9	3.8	234.0	56.5	4.1	12.9	12.0	1.9	1.6	0.5	25:46	42.96%	0.228	15.62%	30.77%	0.12	4.8	18.5	85.2	3.4	0.2	4.6	32.74%	28.57%	26.21%	36.43%	34.1	17.9	16.2	52.38%	148.8	4.4	8.3	7.4	0.2	28.57%	40.6	10.20%	67.26%	63.57%	3.9	57.28%	0.4	0.6	0.5	0.0	6.6	0.2	284.4	257.0	2.5	1.1	45.00%	80.00%	0.00%	80.00%	3.77%	38.8	44.6	40.3	0.6	0.6	0.4	0.2	0.1	1.0	+2.1	2.4	1.8	0.8	1.0	0.0	3.1	1.59%	42.11%	40.00%	42.86%	6.96%	57.89%	57.14%	60.00%	6.1	54.5	1.9	6.9	59.5	2.1	8.9	0.05	8.7	0.05
Tennessee	18.5	+1.6	16.2	3.7	0.307	0.043	2.2	2.6	1.8	66.67%	2.2	2.1	0.0	0.0	1.8	94.44%	--	2.1	0.1	0.0	17.5	1.1	0.0	94.0%	4.2	4.5	3.8	6.0	0.0	8.8	9.8	44.81%	48.74%	51.90%	55.99%	46.77%	53.94%	299.0	60.2	5.0	18.2	12.8	4.2	1.0	0.1	30:12	50.36%	0.303	33.33%	12.50%	0.10	1.9	26.2	98.2	5.1	0.6	3.7	43.57%	27.78%	28.08%	32.86%	29.8	19.0	10.8	63.87%	200.8	6.7	10.6	1.5	66.67%	4.2	12.50%	10.4	56.85%	97.3	56.43%	67.14%	0.1	1.5	0.9	0.1	5.9	0.0	277.2	251.2	4.1	2.6	63.64%	58.33%	8.33%	63.64%	0.00%	42.8	47.2	42.8	16.9	19.9	0.264	1.9	2.8	1.6	59.09%	1.6	1.2	0.2	0.1	2.8	76.92%	50.00%	1.9	0.0	0.0	17.2	0.0	0.0	100.0%	5.4	4.4	3.5	3.6	0.0	9.8	7.1	335.6	63.9	5.3	19.0	12.8	4.2	1.6	0.5	29:47	49.64%	0.297	33.33%	30.77%	0.07	1.5	24.9	96.5	4.8	0.4	3.9	38.94%	20.00%	25.00%	28.75%	36.2	22.9	13.4	63.10%	239.1	6.6	10.5	12.6	1.5	80.00%	86.5	7.05%	61.06%	71.25%	2.8	66.45%	0.0	1.5	1.4	0.0	4.8	0.0	223.1	205.2	4.4	3.1	71.43%	91.67%	0.00%	91.67%	0.00%	43.2	47.0	43.2	0.5	1.8	0.2	1.5	0.1	0.8	+0.9	1.0	1.1	0.6	0.5	0.0	1.6	1.68%	73.91%	85.71%	55.56%	2.76%	26.09%	44.44%	14.29%	6.5	67.2	2.8	8.6	71.5	1.6	10.3	0.05	8.3	0.07
Seattle	26.0	+1.5	14.7	0.6	0.400	-0.004	3.2	3.9	2.6	67.74%	2.9	2.8	0.2	0.0	2.3	95.65%	0.00%	3.1	0.1	0.0	25.6	0.9	0.0	96.7%	4.1	10.5	3.5	7.9	0.0	14.6	11.4	47.69%	63.01%	48.19%	52.08%	55.35%	50.14%	382.9	65.0	5.9	22.0	12.2	5.0	0.8	0.4	31:38	52.75%	0.338	40.82%	50.00%	0.07	1.0	31.4	130.0	7.6	1.0	4.1	48.27%	30.77%	34.66%	33.95%	31.2	21.4	9.9	68.40%	252.9	8.1	11.8	2.1	65.38%	2.4	7.06%	12.1	55.11%	115.5	51.73%	66.05%	0.1	1.6	1.2	0.0	4.4	0.0	202.0	177.4	5.4	4.1	76.74%	76.92%	0.00%	76.92%	0.00%	40.5	46.2	40.5	24.5	15.4	0.404	2.9	3.6	1.8	48.28%	2.1	1.9	0.8	0.2	2.1	88.24%	33.33%	2.4	0.4	0.1	21.5	2.6	0.9	86.0%	4.1	7.9	5.1	7.4	0.0	12.0	12.5	376.4	60.6	6.2	20.4	10.9	3.6	0.9	0.6	28:21	47.25%	0.336	33.33%	71.43%	0.06	0.8	21.2	103.1	5.1	1.2	4.9	35.05%	43.48%	25.15%	27.40%	37.8	24.4	13.4	64.57%	273.2	7.2	11.2	13.5	1.1	39.13%	87.5	4.13%	64.95%	72.60%	1.6	66.26%	0.5	2.4	1.6	0.0	3.4	0.1	156.0	149.6	5.5	3.8	68.18%	68.42%	0.00%	68.42%	3.70%	44.3	48.0	46.0	0.1	1.2	0.9	0.4	0.0	1.0	+0.9	0.9	1.5	1.0	0.5	0.0	1.9	0.40%	50.00%	30.00%	66.67%	2.32%	50.00%	33.33%	70.00%	7.2	56.8	2.2	7.2	61.5	1.8	7.8	0.06	8.5	0.06
LA Rams	26.8	+5.0	14.4	1.2	0.407	0.080	3.0	3.9	2.4	61.29%	2.8	2.8	0.2	0.0	2.4	100.00%	0.00%	2.8	0.2	0.0	25.2	1.8	0.0	93.5%	3.1	8.0	8.5	7.1	0.0	11.1	15.6	41.01%	51.12%	49.51%	49.74%	46.07%	49.62%	384.5	65.8	5.8	21.8	13.0	5.2	0.8	0.1	28:42	47.85%	0.331	40.38%	16.67%	0.05	0.7	24.9	97.2	6.4	1.4	3.9	37.83%	45.83%	29.31%	25.29%	39.4	24.1	15.2	61.27%	287.2	7.3	11.9	1.4	45.83%	1.5	3.67%	13.9	63.79%	87.1	62.17%	74.71%	0.2	2.5	2.0	0.0	3.4	0.1	150.2	138.2	6.0	4.6	77.08%	80.00%	0.00%	80.00%	3.70%	41.0	46.2	42.5	21.8	15.6	0.327	2.4	3.5	2.0	57.14%	2.2	2.2	0.1	0.0	2.3	100.00%	0.00%	2.2	0.1	0.0	21.0	0.9	0.0	96.0%	3.0	6.2	5.0	7.5	0.0	9.2	12.5	338.2	66.5	5.1	20.8	13.8	5.4	1.4	0.8	31:17	52.15%	0.312	39.09%	54.55%	0.07	1.1	27.2	96.9	5.1	0.9	3.6	40.98%	36.84%	24.70%	28.64%	36.4	23.2	13.1	63.92%	241.4	6.6	10.4	13.8	1.4	57.89%	89.2	7.32%	59.02%	71.36%	2.9	66.27%	0.1	2.2	1.8	0.0	4.4	0.0	190.9	170.8	4.9	4.0	82.05%	77.78%	0.00%	77.78%	0.00%	39.0	43.6	39.0	0.9	0.9	0.6	0.2	0.0	1.5	0.0	0.8	1.2	0.8	0.5	0.0	1.5	2.22%	47.06%	28.57%	60.00%	2.06%	52.94%	40.00%	71.43%	7.6	56.2	1.5	7.1	56.9	1.9	7.4	0.06	8.0	0.05
