Team Names	Points per Game	Average Scoring Margin	Yards per Point	Yards per Point Margin	Points per Play	Points per Play Margin	Touchdowns per Game	Red Zone Scoring Attempts per Game	Red Zone Scores per Game (TDs only)	Red Zone Scoring Percentage (TD only)	Extra Point Attempts per Game	Extra Points Made per Game	Two Point Conversion Attempts per Game	Two Point Conversions per Game	Points per Field Goal Attempt	Extra Point Conversion Percentage	Two Point Conversion Percentage	Offensive Touchdowns per Game	Defensive Touchdowns per Game	Special Teams Touchdowns per Game	Offensive Points per Game (Estimated)	Defensive Points per Game (Estimated)	Special Teams Points per Game (Estimated)	Offensive Point Share Percentage (Estimated)	1st Quarter Points/Game	2nd Quarter Points/Game	3rd Quarter Points/Game	4th Quarter Points/Game	Overtime Points/Game	1st Half Points/Game	2nd Half Points/Game	1st Quarter Time of Possession Share %	2nd Quarter Time of Possession Share %	3rd Quarter Time of Possession Share %	4th Quarter Time of Possession Share %	1st Half Time of Possession Share %	2nd Half Time of Possession Share %	Yards per Game	Plays per Game	Yards per Play	First Downs per Game	Third Downs per Game	Third Down Conversions per Game	Fourth Downs per Game	Fourth Down Conversions per Game	Average Time of Possession (Excluding OT)	Time of Possession Percentage (Net of OT)	First Downs per Play	Third Down Conversion Percentage	Fourth Down Conversion Percentage	Punts per Play	Punts per Offensive Score	Rushing Attempts per Game	Rushing Yards per Game	Rushing First Downs per Game	Rushing Touchdowns per Game	Yards per Rush Attempt	Rushing Play Percentage 	Rushing Touchdown Percentage	Rushing First Down Percentage	Rushing Yards Percentage	Pass Attempts per Game	Completions per Game	Incompletions per Game	Completion Percentage	Passing Yards per Game	Yards per Pass Attempt	Yards per Completion	Passing Touchdowns per Game	Passing Touchdown Percentage	QB Sacked per Game	QB Sacked Percentage	Passing First Downs per Game	Passing First Down Percentage	Average Team Passer Rating	Passing Play Percentage	Passing Yards Percentage	Non-Offensive Touchdowns per Game	Field Goal Attempts per Game	Field Goals Made per Game	Field Goals Got Blocked per Game	Punt Attempts per Game	Punts Got Blocked per Game	Gross Punt Yards per Game	Net Punt Yards per Game	Kickoffs per Game	Touchbacks per Game	Kickoff Touchback Percentage	Field Goal Conversion Percentage	Field Goal Got Blocked Percentage	Field Goal Conversion Percentage (Excluding Blocks) 	Punt Blocked Percentage	Net Yards per Punt Attempt	Gross Yards per Successful Punt	Net Yards per Successful Punt	Opponent Points per Game	Opp Yards per Point	Opponent Points per Play	Opponent Touchdowns per Game	Opponent Red Zone Scoring Attempts per Game	Opponent Red Zone Scores per Game (TDs only)	Opponent Red Zone Scoring Percentage (TD only)	Opponent Extra Point Attempts per Game	Opponent Extra Points Made per Game	Opponent Two Point Conversion Attempts per Game	Opponent Two Point Conversions per Game	Opponent Points per Field Goal Attempt	Opponent Extra Point Conversion Percentage	Opponent Two Point Conversion Percentage	Opponent Offensive Touchdowns per Game	Opponent Defensive Touchdowns per Game	Opponent Special Teams Touchdowns per Game	Opponent Offensive Points per Game (Estimated)	Opponent Defensive Points per Game (Estimated)	Opponent Special Teams Points per Game (Estimated)	Opponent Offensive Point Share Percentage (Estimated)	Opp 1st Quarter Points/Game	Opp 2nd Quarter Points/Game	Opp 3rd Quarter Points/Game	Opp 4th Quarter Points/Game	Opp Overtime Points/Game	Opponent 1st Half Points/Game	Opponent 2nd Half Points/Game	Opponent Yards per Game	Opponent Plays per Game	Opponent Yards per Play	Opponent First Downs per Game	Opponent Third Downs per Game	Opponent Third Down Conversions per Game	Opponent Fourth Downs per Game	Opponent Fourth Down Conversions per Game	Opponent Average Time of Possession (Net of OT)	Opponent Time of Possession Percentage (Net of OT)	Opponent First Downs per Play	Opponent Third Down Conversion Percentage	Opponent Fourth Down Conversion Percentage	Opponent Punts per Play	Opponent Punts per Offensive Score	Opponent Rushing Attempts per Game	Opponent Rushing Yards per Game	Opponent Rushing First Downs per Game	Opponent Rushing Touchdowns per Game	Opponent Yards per Rush Attempt	Opponent Rushing Play Percentage 	Opponent Rushing Touchdown Percentage	Opponent Rushing First Down Percentage	Opponent Rushing Yards Percentage	Opponent Pass Attempts per Game	Opponent Completions per Game	Opponent Incompletions per Game	Opponent Completion Percentage	Opponent Passing Yards per Game	Opponent Yards per Pass Attempt	Opponent Yards per Completion	Opponent Passing First Downs per Game	Opponent Passing Touchdowns per Game	Opponent Passing Touchdown Percentage	Opponent Average Team Passer Rating	Sack Percentage	Opponent Passing Play Percentage	Opponent Passing Yards Percentage	Sacks per Game	Opponent Passing First Down Percentage	Opponent Non-Offensive Touchdowns per Game	Opponent Field Goal Attempts per Game	Opponent Field Goals Made per Game	Field Goals Blocked per Game	Opponent Punt Attempts per Game	Punts Blocked per Game	Opponent Gross Punt Yards per Game	Opponent Net Punt Yards per Game	Opponent Kickoffs per Game	Opponent Touchbacks per Game	Opponent Kickoff Touchback Percentage	Opponent Field Goal Conversion Percentage	Block Field Goal Percentage	Opponent Field Goal Conversion Percentage (Net of Blocks) 	Block Punt Percentage	Opponent Net Yards per Punt Attempt	Opponent Gross Yards per Successful Punt	Opponent Net Yards per Successful Punt	Interceptions Thrown per Game	Fumbles per Game	Fumbles Lost per Game	Fumbles Not Lost per Game	Safeties per Game	Giveaways per Game	Turnover Margin per Game	Opponent Interceptions Thrown per Game	Opponent Fumbles per Game	Opponent Fumbles Lost per Game	Opponent Fumbles Not Lost per Game	Opponent Safeties per Game	Takeaways per Game	Interceptions Thrown Percentage	Fumble Recovery Percentage	Giveaway Fumble Recovery Percentage	Takeaway Fumble Recovery Percentage	Opponent Interceptions Thrown Percentage	Opponent Fumble Recovery Percentage	Opponent Giveaway Fumble Recovery Percentage	Opponent Takeaway Fumble Recovery Percentage	Penalties per Game	Penalty Yards per Game	Penalty First Downs per Game	Opponent Penalties per Game	Opponent Penalty Yards per Game	Opponent Penalty First Downs per Game	Penalty Yards per Penalty	Penalties per Play	Opponent Penalty Yards per Penalty	Opponent Penalties per Play
Baltimore	33.2	+15.6	12.3	4.8	0.499	0.193	4.0	4.0	2.7	67.19%	3.7	3.6	0.3	0.1	2.9	96.61%	40.00%	3.6	0.4	0.0	30.6	2.8	0.0	91.8%	8.0	9.8	6.6	8.6	0.2	17.8	15.2	59.00%	45.94%	59.17%	66.22%	52.47%	62.88%	407.6	66.5	6.1	24.1	11.7	5.5	1.5	1.1	34:32	57.58%	0.363	47.06%	70.83%	0.04	0.4	37.2	206.0	11.8	1.3	5.5	56.02%	32.81%	48.70%	50.54%	27.5	18.1	9.4	65.68%	201.6	7.3	11.2	2.3	57.81%	1.8	5.98%	10.7	44.30%	109.0	43.98%	49.46%	0.4	1.8	1.8	0.0	2.6	0.1	115.9	102.0	6.6	3.6	53.77%	96.55%	0.00%	96.55%	2.44%	39.8	46.4	40.8	17.6	17.1	0.306	1.8	2.8	1.3	47.73%	1.5	1.3	0.3	0.2	2.6	87.50%	60.00%	1.7	0.0	0.1	16.9	0.0	0.9	95.1%	1.9	7.7	3.1	4.9	0.0	9.6	8.0	300.6	57.6	5.2	17.2	12.1	4.5	1.1	0.4	25:27	42.42%	0.300	37.11%	33.33%	0.07	1.1	21.2	93.4	4.6	0.8	4.4	36.92%	41.38%	26.81%	31.07%	34.0	19.9	14.1	58.46%	207.2	6.1	10.4	10.2	0.9	51.72%	77.5	6.37%	63.08%	68.93%	2.3	59.06%	0.1	1.9	1.7	0.1	4.0	0.0	186.9	169.0	4.6	2.6	57.53%	87.10%	6.45%	93.10%	0.00%	42.2	46.7	42.2	0.5	1.1	0.4	0.7	0.1	0.9	+0.6	0.8	1.4	0.8	0.6	0.0	1.6	1.82%	57.50%	61.11%	54.55%	2.39%	42.50%	45.45%	38.89%	6.8	54.2	1.7	6.1	49.7	2.4	8.0	0.05	8.2	0.05
Kansas City	28.2	+8.9	13.5	4.7	0.462	0.167	3.1	3.1	1.7	54.00%	3.0	2.8	0.1	0.1	2.7	93.75%	50.00%	2.9	0.2	0.1	26.5	1.3	0.4	93.8%	5.6	11.1	6.4	5.1	0.0	16.7	11.5	48.15%	54.46%	45.40%	48.38%	51.30%	46.89%	379.2	61.0	6.2	21.9	11.7	5.6	0.6	0.4	29:27	49.10%	0.359	47.59%	60.00%	0.05	0.6	23.4	98.1	5.8	1.0	4.2	38.42%	32.00%	26.57%	25.86%	36.0	23.6	12.4	65.62%	281.1	7.8	11.9	1.9	60.00%	1.6	4.16%	13.2	60.29%	104.4	61.58%	74.14%	0.2	2.4	2.1	0.1	3.1	0.1	132.9	123.6	6.1	3.8	61.22%	89.47%	2.63%	91.89%	2.04%	40.3	44.3	41.2	19.2	18.2	0.295	2.2	3.6	1.8	50.88%	1.7	1.4	0.6	0.2	2.4	85.19%	33.33%	2.2	0.1	0.0	19.2	0.4	0.0	97.8%	5.0	4.2	3.6	6.5	0.0	9.2	10.1	349.6	65.2	5.4	21.5	12.6	4.7	1.9	1.0	30:32	50.90%	0.330	37.13%	51.61%	0.06	1.0	26.0	128.2	7.2	0.9	4.9	39.88%	38.89%	33.43%	36.66%	36.4	22.0	14.4	60.48%	221.4	6.1	10.1	11.9	1.3	58.33%	80.8	7.18%	60.12%	63.34%	2.8	55.23%	0.1	1.6	1.3	0.1	3.6	0.0	158.7	143.6	4.5	2.0	44.44%	80.77%	3.85%	84.00%	0.00%	39.6	43.8	39.6	0.3	1.2	0.6	0.6	0.0	0.9	+0.5	1.0	1.2	0.4	0.8	0.0	1.4	0.87%	42.50%	50.00%	35.00%	2.75%	57.50%	65.00%	50.00%	6.7	64.3	2.9	7.2	52.8	2.4	9.6	0.05	7.3	0.06
San Francisco	29.9	+10.6	12.7	1.8	0.473	0.153	3.5	3.9	2.1	53.23%	3.1	3.1	0.1	0.1	2.3	98.00%	50.00%	3.2	0.3	0.0	27.9	2.2	0.0	92.7%	6.6	8.4	7.0	7.9	0.0	15.1	14.9	50.08%	46.72%	56.06%	56.75%	48.40%	55.84%	381.1	63.2	6.0	21.0	12.5	5.6	0.8	0.4	31:26	52.40%	0.332	45.00%	58.33%	0.05	0.6	31.1	144.1	6.9	1.4	4.6	49.21%	41.07%	32.74%	37.81%	29.9	20.7	9.2	69.25%	237.0	7.9	11.5	1.8	50.00%	2.2	7.00%	12.2	58.04%	103.1	50.79%	62.19%	0.3	2.4	1.9	0.1	3.2	0.0	145.8	135.1	6.1	3.1	50.00%	76.92%	5.13%	81.08%	0.00%	41.6	44.9	41.6	19.4	14.5	0.320	2.3	2.5	1.5	60.00%	1.9	1.8	0.6	0.2	2.5	96.67%	44.44%	2.1	0.2	0.0	18.1	1.4	0.0	92.6%	4.1	4.7	4.8	5.6	0.2	8.8	10.4	281.8	60.5	4.7	17.8	12.0	4.0	1.6	0.5	28:33	47.60%	0.294	33.33%	32.00%	0.08	1.4	25.1	112.6	6.6	0.7	4.5	41.43%	29.73%	36.84%	39.96%	32.4	19.9	12.6	61.27%	169.2	5.2	8.5	9.4	1.4	62.16%	83.0	8.47%	58.57%	60.04%	3.0	52.63%	0.2	1.2	1.1	0.0	4.7	0.0	222.2	198.2	4.2	2.9	70.15%	85.00%	0.00%	85.00%	0.00%	42.3	47.4	42.3	0.8	1.2	0.6	0.6	0.0	1.4	+0.2	0.8	1.8	0.9	0.8	0.1	1.7	2.72%	51.06%	47.37%	53.57%	2.31%	48.94%	46.43%	52.63%	6.6	58.7	1.9	7.2	59.8	1.9	8.9	0.05	8.2	0.06
Tampa Bay	28.6	+0.6	13.9	-1.6	0.422	0.003	3.4	3.4	2.2	64.81%	3.0	2.7	0.4	0.3	2.3	89.58%	83.33%	3.0	0.4	0.0	26.1	2.6	0.0	90.8%	6.6	10.6	4.4	7.1	0.0	17.2	11.4	52.69%	50.26%	52.76%	50.38%	51.48%	51.19%	397.9	67.9	5.9	22.1	13.6	5.6	1.1	0.6	30:54	51.52%	0.325	41.47%	52.94%	0.05	0.7	25.6	95.1	5.1	0.9	3.7	37.66%	27.78%	22.95%	23.89%	39.4	23.9	15.5	60.63%	302.8	7.7	12.7	2.1	61.11%	2.9	6.94%	15.2	69.12%	84.1	62.34%	76.11%	0.4	2.2	1.7	0.1	3.6	0.0	154.0	136.4	6.1	5.5	89.80%	77.14%	2.86%	79.41%	0.00%	38.3	43.2	38.3	28.1	12.3	0.418	3.0	3.8	1.9	50.00%	2.4	2.4	0.4	0.3	2.6	97.44%	71.43%	2.6	0.4	0.0	24.9	3.2	0.0	88.6%	6.2	7.1	6.3	7.8	0.8	13.2	14.1	343.9	67.1	5.1	20.7	13.6	4.7	1.7	0.8	29:05	48.48%	0.308	34.40%	48.15%	0.06	0.8	22.6	73.8	4.4	0.7	3.3	33.74%	22.92%	21.15%	21.46%	41.5	25.5	16.0	61.45%	270.1	6.5	10.6	13.9	1.9	62.50%	90.0	6.61%	66.26%	78.54%	2.9	67.07%	0.4	2.7	2.3	0.0	4.0	0.0	187.9	175.9	6.1	4.3	71.13%	86.05%	0.00%	86.05%	0.00%	44.0	47.0	44.0	1.9	1.4	0.7	0.8	0.0	2.6	-0.8	0.8	1.7	1.0	0.7	0.1	1.8	4.76%	56.00%	52.17%	59.26%	1.81%	44.00%	40.74%	47.83%	8.3	69.4	1.8	6.9	60.7	2.4	8.4	0.06	8.7	0.05
New Orleans	28.6	+7.3	13.1	2.6	0.453	0.112	3.2	3.6	2.1	59.65%	3.1	3.0	0.2	0.0	2.7	97.96%	0.00%	3.0	0.2	0.1	27.0	1.4	0.4	93.5%	5.6	8.8	8.1	6.2	0.0	14.3	14.3	58.54%	50.67%	54.06%	52.12%	54.61%	53.09%	373.9	63.2	5.9	21.7	12.0	5.1	0.8	0.3	32:18	53.85%	0.343	42.19%	38.46%	0.06	0.7	25.3	108.6	6.1	0.8	4.3	40.06%	23.08%	27.95%	29.05%	36.3	26.1	10.2	71.94%	265.2	7.3	10.2	2.2	69.23%	1.6	4.13%	14.4	66.28%	110.2	59.94%	70.95%	0.2	2.2	2.0	0.0	3.8	0.0	173.1	161.5	5.9	4.6	77.89%	88.89%	0.00%	88.89%	0.00%	43.1	46.2	43.1	21.3	15.6	0.341	2.5	2.9	1.8	59.57%	2.2	2.1	0.2	0.1	2.8	91.67%	33.33%	2.4	0.0	0.1	21.2	0.0	0.4	98.0%	3.8	5.5	5.1	7.0	0.0	9.2	12.1	333.1	62.4	5.3	19.4	13.1	4.6	1.6	0.7	27:41	46.15%	0.311	34.76%	44.00%	0.07	1.2	21.6	91.3	4.4	0.8	4.2	34.53%	30.00%	22.83%	27.42%	37.7	23.2	14.5	61.53%	241.8	6.4	10.4	12.3	1.7	67.50%	88.3	7.80%	65.47%	72.58%	3.2	63.34%	0.1	1.5	1.4	0.0	4.6	0.1	196.6	171.1	4.8	2.6	55.26%	91.67%	0.00%	91.67%	1.37%	37.5	43.7	38.0	0.4	0.6	0.1	0.4	0.1	0.5	+0.9	0.8	0.9	0.6	0.3	0.0	1.4	1.03%	70.83%	77.78%	66.67%	2.16%	29.17%	33.33%	22.22%	7.5	64.8	1.2	5.8	44.6	2.7	8.6	0.06	7.8	0.05
Dallas	27.1	+7.1	15.9	0.4	0.406	0.090	3.1	3.4	1.9	57.41%	2.9	2.9	0.2	0.1	2.2	100.00%	66.67%	3.0	0.1	0.0	26.6	0.4	0.0	98.4%	4.2	8.7	5.5	8.8	0.0	12.9	14.2	48.91%	52.02%	47.40%	48.61%	50.47%	48.01%	431.5	66.8	6.5	23.7	12.8	6.0	1.0	0.4	29:32	49.24%	0.355	47.06%	43.75%	0.05	0.6	28.1	134.6	7.5	1.1	4.8	42.00%	36.73%	31.66%	31.18%	37.3	24.2	13.1	64.99%	296.9	8.0	12.2	1.9	61.22%	1.4	3.71%	14.3	60.42%	99.5	58.00%	68.82%	0.1	2.5	1.9	0.1	3.2	0.1	129.9	117.8	5.8	3.2	55.43%	75.00%	2.50%	76.92%	1.96%	37.0	41.6	37.7	20.1	16.3	0.316	2.2	3.6	1.8	50.88%	1.9	1.8	0.2	0.1	2.4	93.55%	50.00%	2.2	0.0	0.0	20.2	0.0	0.0	100.0%	4.9	6.6	4.9	3.7	0.0	11.5	8.6	327.0	63.4	5.2	20.4	12.6	4.2	1.4	0.6	30:27	50.76%	0.322	33.33%	45.45%	0.07	1.1	25.4	103.5	6.3	0.9	4.1	40.10%	40.00%	30.89%	31.65%	35.6	23.1	12.4	65.03%	223.5	6.3	9.7	11.8	1.3	60.00%	91.9	6.41%	59.90%	68.35%	2.4	57.49%	0.0	2.0	1.6	0.0	4.3	0.0	199.2	186.1	4.7	3.4	72.00%	81.25%	0.00%	81.25%	0.00%	43.1	46.2	43.1	0.7	0.9	0.4	0.5	0.0	1.1	-0.1	0.4	1.2	0.6	0.6	0.0	1.1	1.84%	52.94%	53.33%	52.63%	1.23%	47.06%	47.37%	46.67%	6.8	63.0	1.9	6.4	53.4	2.4	9.2	0.05	8.4	0.05
New England	26.2	+12.2	13.5	6.1	0.384	0.146	3.1	3.8	1.9	50.00%	2.8	2.4	0.2	0.1	2.4	86.67%	50.00%	2.6	0.3	0.1	23.4	2.3	0.9	88.0%	7.4	6.1	6.7	6.1	0.0	13.4	12.8	49.78%	55.50%	50.84%	55.22%	52.64%	53.03%	354.0	68.4	5.2	21.1	14.2	5.4	0.9	0.4	31:42	52.84%	0.309	38.33%	40.00%	0.07	1.1	27.9	106.4	6.9	1.1	3.8	40.82%	34.69%	32.54%	30.07%	38.8	23.6	15.1	60.97%	247.6	6.4	10.5	1.6	51.02%	1.8	4.32%	12.3	58.28%	88.2	59.18%	69.93%	0.4	2.1	1.7	0.1	5.1	0.0	227.4	208.9	5.8	3.7	64.13%	79.41%	5.88%	84.38%	0.00%	41.3	44.9	41.3	14.1	19.6	0.237	1.6	1.8	0.9	48.28%	1.6	1.5	0.0	0.0	2.7	96.00%	--	1.2	0.3	0.0	11.9	2.2	0.0	84.5%	2.9	5.1	3.2	2.9	0.0	8.0	6.1	275.9	59.2	4.7	16.3	12.2	2.9	1.4	0.5	28:17	47.16%	0.275	24.10%	36.36%	0.09	2.1	22.8	95.5	4.5	0.4	4.2	38.50%	28.00%	27.59%	34.62%	33.5	18.9	14.6	56.53%	180.4	5.4	9.5	9.4	0.8	52.00%	62.8	8.06%	61.50%	65.38%	2.9	57.47%	0.3	1.2	1.1	0.0	5.6	0.2	240.5	222.2	3.7	1.8	49.15%	89.47%	0.00%	89.47%	4.44%	39.5	44.7	41.3	0.6	0.8	0.4	0.4	0.1	0.9	+1.3	1.6	1.6	0.7	0.9	0.0	2.2	1.45%	46.15%	53.85%	42.31%	4.66%	53.85%	57.69%	46.15%	5.9	51.8	1.9	6.7	57.5	2.4	8.8	0.05	8.6	0.05
Tennessee	25.1	+4.4	14.4	2.9	0.424	0.110	3.4	2.8	2.1	75.56%	3.2	3.1	0.1	0.1	1.3	96.15%	50.00%	3.1	0.2	0.1	23.4	1.4	0.4	92.6%	4.3	4.8	6.9	9.1	0.0	9.1	16.0	43.76%	45.67%	50.44%	50.24%	44.71%	50.34%	362.8	59.3	6.1	19.8	11.6	4.4	0.9	0.2	28:30	47.53%	0.334	37.84%	28.57%	0.08	1.3	27.8	138.9	6.5	1.3	5.0	46.89%	38.89%	32.81%	38.29%	28.0	18.6	9.4	66.29%	223.9	8.0	12.1	1.8	53.70%	3.5	11.11%	11.1	55.84%	108.3	53.11%	61.71%	0.2	1.1	0.5	0.1	4.9	0.0	229.5	210.2	4.9	2.4	50.00%	44.44%	11.11%	50.00%	0.00%	43.1	47.1	43.1	20.7	17.4	0.313	2.4	2.9	2.0	68.09%	2.2	1.9	0.2	0.1	2.3	85.71%	50.00%	2.4	0.0	0.0	21.0	0.0	0.0	100.0%	4.6	6.2	5.4	4.4	0.0	10.8	9.9	359.5	66.0	5.4	20.9	12.8	4.6	1.6	0.6	31:29	52.47%	0.317	36.27%	40.00%	0.07	1.2	25.9	104.5	5.9	0.9	4.0	39.30%	35.90%	28.36%	29.07%	37.4	24.1	13.2	64.55%	255.0	6.8	10.6	13.3	1.6	64.10%	90.4	6.71%	60.70%	70.93%	2.7	63.58%	0.0	1.7	1.3	0.2	4.4	0.0	206.2	189.4	4.8	2.9	59.74%	77.78%	11.11%	87.50%	0.00%	42.7	46.5	42.7	0.5	1.3	0.6	0.8	0.1	1.1	+0.4	0.9	1.0	0.6	0.4	0.0	1.4	1.79%	56.76%	57.14%	56.25%	2.34%	43.24%	43.75%	42.86%	6.2	58.2	2.2	7.8	64.1	1.7	9.4	0.05	8.2	0.06
Seattle	25.3	+0.4	14.8	0.5	0.387	-0.005	3.1	3.8	2.4	63.33%	2.8	2.5	0.2	0.1	2.5	90.91%	50.00%	2.9	0.2	0.0	24.4	1.3	0.0	94.9%	4.8	6.9	5.2	7.9	0.6	11.7	13.1	46.90%	56.05%	49.58%	52.51%	51.47%	51.81%	374.4	65.4	5.7	21.3	12.5	4.9	0.9	0.4	30:45	51.26%	0.326	39.50%	50.00%	0.07	1.0	30.1	137.5	7.6	0.9	4.6	45.98%	30.61%	35.48%	36.72%	32.3	21.3	11.0	65.96%	236.9	7.3	11.1	1.9	63.27%	3.0	8.50%	11.9	55.72%	105.3	54.02%	63.28%	0.2	1.8	1.4	0.0	4.6	0.0	208.8	189.2	5.3	3.7	69.41%	82.14%	0.00%	82.14%	0.00%	40.9	45.1	40.9	24.9	15.3	0.393	2.9	3.2	2.0	61.54%	2.4	2.2	0.5	0.1	2.1	92.11%	25.00%	2.6	0.3	0.1	22.6	2.2	0.4	89.6%	5.7	7.1	3.5	8.6	0.0	12.8	12.1	381.6	63.4	6.0	21.6	11.6	4.4	0.8	0.4	29:14	48.74%	0.341	38.38%	58.33%	0.06	0.8	24.2	117.7	6.1	1.4	4.9	38.26%	46.81%	28.03%	30.84%	37.4	23.9	13.4	64.05%	263.9	7.1	11.0	14.0	1.2	40.43%	85.6	4.47%	61.74%	69.16%	1.8	64.74%	0.4	2.2	1.6	0.1	3.7	0.1	166.3	155.0	5.6	3.9	69.66%	71.43%	5.71%	75.76%	1.69%	42.0	45.9	42.8	0.4	1.6	0.9	0.7	0.0	1.2	+0.8	1.0	1.6	1.0	0.6	0.0	2.0	1.16%	54.00%	44.00%	64.00%	2.68%	46.00%	36.00%	56.00%	6.8	55.1	1.9	6.0	49.9	1.6	8.1	0.05	8.3	0.05
LA Rams	24.6	+1.9	15.2	-0.3	0.373	0.029	2.9	3.7	2.4	64.41%	2.6	2.6	0.2	0.1	2.2	100.00%	25.00%	2.6	0.2	0.0	22.9	1.9	0.0	92.4%	3.2	9.1	5.8	6.5	0.0	12.4	12.2	45.65%	52.51%	47.65%	47.61%	49.08%	47.63%	374.9	65.9	5.7	21.4	13.0	5.2	0.8	0.2	29:00	48.36%	0.324	39.90%	23.08%	0.06	1.0	25.1	93.7	5.8	1.2	3.7	38.01%	43.48%	26.90%	24.99%	39.5	24.8	14.7	62.82%	281.2	7.1	11.3	1.4	47.83%	1.4	3.36%	13.9	64.91%	85.6	61.99%	75.01%	0.2	2.1	1.5	0.1	4.2	0.1	195.5	177.4	5.3	4.1	76.47%	72.73%	3.03%	75.00%	1.49%	42.4	47.4	43.0	22.8	14.9	0.345	2.6	3.2	2.1	63.46%	2.6	2.5	0.1	0.0	2.4	97.56%	0.00%	2.4	0.2	0.0	21.1	1.8	0.0	92.3%	4.1	7.2	4.4	7.1	0.0	11.3	11.4	339.6	66.0	5.1	20.2	13.6	5.4	1.5	0.9	30:59	51.64%	0.307	39.45%	58.33%	0.07	1.1	27.8	113.1	6.2	0.9	4.1	42.05%	35.71%	30.86%	33.29%	35.1	21.8	13.4	61.92%	226.6	6.5	10.4	12.1	1.4	54.76%	86.8	8.17%	57.95%	66.71%	3.1	59.88%	0.2	1.9	1.5	0.0	4.6	0.0	201.4	188.2	5.0	3.6	72.50%	80.00%	0.00%	80.00%	0.00%	41.3	44.1	41.3	1.1	1.1	0.4	0.6	0.1	1.5	0.0	0.8	1.4	0.7	0.8	0.0	1.5	2.69%	52.50%	58.82%	47.83%	2.31%	47.50%	52.17%	41.18%	7.4	56.2	1.8	6.6	51.8	1.9	7.6	0.06	7.9	0.05
